Date,LT,upper,lower
2018-11-15,1398.5,1452.5807963861064,1219.2049178996083
2018-11-16,1399.05,1440.0302591482787,1260.5554551374357
2018-11-19,1417.2,1441.7976882898167,1281.0594545673268
2018-11-20,1413.1,1437.411129605619,1305.7102989658101
2018-11-21,1402.1,1430.9464154928887,1327.117870221397
2018-11-22,1410.15,1429.700739737624,1340.2778316909478
2018-11-26,1422.0,1435.4845217686377,1343.6083353742195
2018-11-27,1431.6,1440.431968636289,1350.2966027922823
2018-11-28,1403.4,1439.5535433915252,1356.8250280370466
2018-11-29,1422.45,1440.9824260874661,1363.4675739125341
2018-11-30,1432.5,1443.4843949791245,1370.094176449447
2018-12-03,1427.5,1441.3676503527572,1380.8252067901003
2018-12-04,1419.9,1441.4189474833674,1384.888195373776
2018-12-05,1394.8,1439.3941557010587,1388.3558442989417
2018-12-06,1379.5,1443.08155121944,1381.9541630662748
2018-12-07,1399.9,1443.0301904151484,1382.1269524419954
2018-12-10,1367.75,1447.58634722304,1370.506509919818
2018-12-11,1361.4,1451.3974879947118,1359.3096548624321
2018-12-12,1400.3,1451.318078906484,1359.1319210935171
2018-12-13,1426.45,1453.822237236538,1358.9563341920343
2018-12-14,1411.4,1452.3243034105517,1358.9399823037352
2018-12-17,1408.0,1448.2426597757144,1359.6501973671443
2018-12-18,1428.5,1451.9314791701738,1359.5470922583988
2018-12-19,1434.75,1454.6119370204751,1358.6237772652403
2018-12-20,1450.8,1459.7958714761455,1356.0541285238558
2018-12-21,1420.0,1458.5391887681533,1356.239382660419
2018-12-24,1404.8,1456.958566067526,1355.6628625039036
2018-12-26,1422.65,1459.1874776798566,1357.4125223201447
2018-12-27,1425.05,1460.2880555754,1362.819087281744
2018-12-28,1439.4,1464.7492417389265,1364.0007582610745
2018-12-31,1437.55,1463.2566432816955,1375.464785289734
2019-01-01,1441.9,1455.2282833615159,1394.9931452099136
2019-01-02,1425.5,1453.4390207518043,1400.3824078196255
2019-01-03,1395.0,1456.2121596783275,1393.116411750245
2019-01-04,1388.05,1459.6248846023818,1386.3679725404759
2019-01-07,1383.8,1462.8887765712957,1379.646937714419
2019-01-08,1382.2,1464.2070476717347,1371.7143808996946
2019-01-09,1386.05,1462.5777464807031,1366.386539233583
2019-01-10,1392.6,1454.8247968880687,1365.8252031119318
2019-01-11,1369.6,1455.775158785935,1357.6748412140653
2019-01-14,1333.9,1464.3196221621367,1339.0018064092922
2019-01-15,1340.9,1464.9565328048411,1326.6863243380167
2019-01-16,1342.15,1462.3713842731297,1317.428615726871
2019-01-17,1346.05,1453.2199616560006,1313.2443240582857
2019-01-18,1317.9,1445.319628874329,1304.0517996971005
2019-01-21,1314.55,1431.5842759504044,1299.5942954781676
2019-01-22,1301.15,1421.4278072202806,1291.986478494006
2019-01-23,1301.45,1416.9931411051427,1283.056858894858
2019-01-24,1295.35,1412.4743875332324,1274.332755323911
2019-01-25,1285.45,1407.719278486447,1265.0378643706968
2019-01-28,1300.45,1399.0503985531427,1262.0281728754298
2019-01-29,1278.05,1388.6810288695149,1256.9689711304861
2019-01-30,1294.45,1369.4334331061798,1262.195138322393
2019-01-31,1314.3,1355.663643429489,1268.0649279990837
2019-02-01,1324.6,1353.8260844662473,1268.5739155337537
2019-02-04,1307.4,1347.8628596088495,1269.7514261054373
